Op[3] A[4] B[4] ALUout[8]
100 1000 1011 00000001
100 1000 1100 00000001
100 1000 1101 00000001
100 1000 1110 00000001
100 1000 1111 00000001
100 1001 0000 00000001
100 1001 0001 00000001
100 1001 0010 00000001
100 1001 0011 00000001
100 1001 0100 00000001
100 1001 0101 00000001
100 1001 0110 00000001
100 1001 0111 00000001
100 1001 1000 00000001
100 1001 1001 00000001
100 1001 1010 00000001
100 1001 1011 00000001
100 1001 1100 00000001
100 1001 1101 00000001
100 1001 1110 00000001
100 1001 1111 00000001
100 1010 0000 00000001
100 1010 0001 00000001
100 1010 0010 00000001
100 1010 0011 00000001
100 1010 0100 00000001
100 1010 0101 00000001
100 1010 0110 00000001
100 1010 0111 00000001
100 1010 1000 00000001
100 1010 1001 00000001
100 1010 1010 00000001
100 1010 1011 00000001
100 1010 1100 00000001
100 1010 1101 00000001
100 1010 1110 00000001
100 1010 1111 00000001
100 1011 0000 00000001
100 1011 0001 00000001
100 1011 0010 00000001
100 1011 0011 00000001
100 1011 0100 00000001
100 1011 0101 00000001
100 1011 0110 00000001
100 1011 0111 00000001
100 1011 1000 00000001
100 1011 1001 00000001
100 1011 1010 00000001
100 1011 1011 00000001
100 1011 1100 00000001
100 1011 1101 00000001
100 1011 1110 00000001
100 1011 1111 00000001
100 1100 0000 00000001
100 1100 0001 00000001
100 1100 0010 00000001
100 1100 0011 00000001
100 1100 0100 00000001
100 1100 0101 00000001
100 1100 0110 00000001
100 1100 0111 00000001
100 1100 1000 00000001
100 1100 1001 00000001
100 1100 1010 00000001
100 1100 1011 00000001
100 1100 1100 00000001
100 1100 1101 00000001
100 1100 1110 00000001
100 1100 1111 00000001
100 1101 0000 00000001
100 1101 0001 00000001
100 1101 0010 00000001
100 1101 0011 00000001
100 1101 0100 00000001
100 1101 0101 00000001
100 1101 0110 00000001
100 1101 0111 00000001
100 1101 1000 00000001
100 1101 1001 00000001
100 1101 1010 00000001
100 1101 1011 00000001
100 1101 1100 00000001
100 1101 1101 00000001
100 1101 1110 00000001
100 1101 1111 00000001
100 1110 0000 00000001
100 1110 0001 00000001
100 1110 0010 00000001
100 1110 0011 00000001
100 1110 0100 00000001
100 1110 0101 00000001
100 1110 0110 00000001
100 1110 0111 00000001
100 1110 1000 00000001
100 1110 1001 00000001
100 1110 1010 00000001
100 1110 1011 00000001
100 1110 1100 00000001
100 1110 1101 00000001
100 1110 1110 00000001
100 1110 1111 00000001
100 1111 0000 00000001
100 1111 0001 00000001
100 1111 0010 00000001
100 1111 0011 00000001
100 1111 0100 00000001
100 1111 0101 00000001
100 1111 0110 00000001
100 1111 0111 00000001
100 1111 1000 00000001
100 1111 1001 00000001
100 1111 1010 00000001
100 1111 1011 00000001
100 1111 1100 00000001
100 1111 1101 00000001
100 1111 1110 00000001
100 1111 1111 00000001
101 0000 0000 00000000
101 0000 0001 00000001
101 0000 0010 00000010
101 0000 0011 00000011
101 0000 0100 00000100
101 0000 0101 00000101
101 0000 0110 00000110
101 0000 0111 00000111
101 0000 1000 00001000
101 0000 1001 00001001
101 0000 1010 00001010
101 0000 1011 00001011
101 0000 1100 00001100
101 0000 1101 00001101
101 0000 1110 00001110
101 0000 1111 00001111
101 0001 0000 00010000
101 0001 0001 00010001
101 0001 0010 00010010
101 0001 0011 00010011
101 0001 0100 00010100
101 0001 0101 00010101
101 0001 0110 00010110
101 0001 0111 00010111
101 0001 1000 00011000
101 0001 1001 00011001
101 0001 1010 00011010
101 0001 1011 00011011
101 0001 1100 00011100
101 0001 1101 00011101
101 0001 1110 00011110
101 0001 1111 00011111
101 0010 0000 00100000
101 0010 0001 00100001
101 0010 0010 00100010
101 0010 0011 00100011
101 0010 0100 00100100
101 0010 0101 00100101
101 0010 0110 00100110
101 0010 0111 00100111
101 0010 1000 00101000
101 0010 1001 00101001
101 0010 1010 00101010
101 0010 1011 00101011
101 0010 1100 00101100
101 0010 1101 00101101
101 0010 1110 00101110
101 0010 1111 00101111
101 0011 0000 00110000
101 0011 0001 00110001
101 0011 0010 00110010
101 0011 0011 00110011
101 0011 0100 00110100
101 0011 0101 00110101
101 0011 0110 00110110
101 0011 0111 00110111
101 0011 1000 00111000
101 0011 1001 00111001
101 0011 1010 00111010
101 0011 1011 00111011
101 0011 1100 00111100
101 0011 1101 00111101
101 0011 1110 00111110
101 0011 1111 00111111
101 0100 0000 01000000
101 0100 0001 01000001
101 0100 0010 01000010
101 0100 0011 01000011
101 0100 0100 01000100
101 0100 0101 01000101
101 0100 0110 01000110
101 0100 0111 01000111
101 0100 1000 01001000
101 0100 1001 01001001
101 0100 1010 01001010
101 0100 1011 01001011
101 0100 1100 01001100
101 0100 1101 01001101
101 0100 1110 01001110
101 0100 1111 01001111
101 0101 0000 01010000
101 0101 0001 01010001
101 0101 0010 01010010
101 0101 0011 01010011
101 0101 0100 01010100
101 0101 0101 01010101
101 0101 0110 01010110
101 0101 0111 01010111
101 0101 1000 01011000
101 0101 1001 01011001
101 0101 1010 01011010
101 0101 1011 01011011
101 0101 1100 01011100
101 0101 1101 01011101
101 0101 1110 01011110
101 0101 1111 01011111
101 0110 0000 01100000
101 0110 0001 01100001
101 0110 0010 01100010
101 0110 0011 01100011
101 0110 0100 01100100
101 0110 0101 01100101
101 0110 0110 01100110
101 0110 0111 01100111
101 0110 1000 01101000
101 0110 1001 01101001
101 0110 1010 01101010
101 0110 1011 01101011
101 0110 1100 01101100
101 0110 1101 01101101
101 0110 1110 01101110
101 0110 1111 01101111
101 0111 0000 01110000
101 0111 0001 01110001
101 0111 0010 01110010
101 0111 0011 01110011
101 0111 0100 01110100
101 0111 0101 01110101
101 0111 0110 01110110
101 0111 0111 01110111
101 0111 1000 01111000
101 0111 1001 01111001
101 0111 1010 01111010
101 0111 1011 01111011
101 0111 1100 01111100
101 0111 1101 01111101
101 0111 1110 01111110
101 0111 1111 01111111
101 1000 0000 10000000
101 1000 0001 10000001
101 1000 0010 10000010
101 1000 0011 10000011
101 1000 0100 10000100
101 1000 0101 10000101
101 1000 0110 10000110
101 1000 0111 10000111
101 1000 1000 10001000
101 1000 1001 10001001
101 1000 1010 10001010
101 1000 1011 10001011
101 1000 1100 10001100
101 1000 1101 10001101
101 1000 1110 10001110
101 1000 1111 10001111
101 1001 0000 10010000
101 1001 0001 10010001
101 1001 0010 10010010
101 1001 0011 10010011
101 1001 0100 10010100
101 1001 0101 10010101
101 1001 0110 10010110
101 1001 0111 10010111
101 1001 1000 10011000
101 1001 1001 10011001
101 1001 1010 10011010
101 1001 1011 10011011
101 1001 1100 10011100
101 1001 1101 10011101
101 1001 1110 10011110
101 1001 1111 10011111
101 1010 0000 10100000
101 1010 0001 10100001
101 1010 0010 10100010
101 1010 0011 10100011
101 1010 0100 10100100
101 1010 0101 10100101
101 1010 0110 10100110
101 1010 0111 10100111
101 1010 1000 10101000
101 1010 1001 10101001
101 1010 1010 10101010
101 1010 1011 10101011
101 1010 1100 10101100
101 1010 1101 10101101
101 1010 1110 10101110
101 1010 1111 10101111
101 1011 0000 10110000
101 1011 0001 10110001
101 1011 0010 10110010
101 1011 0011 10110011
101 1011 0100 10110100
101 1011 0101 10110101
101 1011 0110 10110110
101 1011 0111 10110111
101 1011 1000 10111000
101 1011 1001 10111001
101 1011 1010 10111010
101 1011 1011 10111011
101 1011 1100 10111100
101 1011 1101 10111101
101 1011 1110 10111110
101 1011 1111 10111111
101 1100 0000 11000000
101 1100 0001 11000001
101 1100 0010 11000010
101 1100 0011 11000011
101 1100 0100 11000100
101 1100 0101 11000101
101 1100 0110 11000110
101 1100 0111 11000111
101 1100 1000 11001000
101 1100 1001 11001001
101 1100 1010 11001010
101 1100 1011 11001011
101 1100 1100 11001100
101 1100 1101 11001101
101 1100 1110 11001110
101 1100 1111 11001111
101 1101 0000 11010000
101 1101 0001 11010001
101 1101 0010 11010010
101 1101 0011 11010011
101 1101 0100 11010100
101 1101 0101 11010101
101 1101 0110 11010110
101 1101 0111 11010111
101 1101 1000 11011000
101 1101 1001 11011001
101 1101 1010 11011010
101 1101 1011 11011011
101 1101 1100 11011100
101 1101 1101 11011101
101 1101 1110 11011110
101 1101 1111 11011111
101 1110 0000 11100000
101 1110 0001 11100001
101 1110 0010 11100010
101 1110 0011 11100011
101 1110 0100 11100100
101 1110 0101 11100101
101 1110 0110 11100110
101 1110 0111 11100111
101 1110 1000 11101000
101 1110 1001 11101001
101 1110 1010 11101010
101 1110 1011 11101011
101 1110 1100 11101100
101 1110 1101 11101101
101 1110 1110 11101110
101 1110 1111 11101111
101 1111 0000 11110000
101 1111 0001 11110001
101 1111 0010 11110010
101 1111 0011 11110011
101 1111 0100 11110100
101 1111 0101 11110101
101 1111 0110 11110110
101 1111 0111 11110111
101 1111 1000 11111000
101 1111 1001 11111001
101 1111 1010 11111010
101 1111 1011 11111011
101 1111 1100 11111100
101 1111 1101 11111101
101 1111 1110 11111110
101 1111 1111 11111111
